SKU,Title,Vendor,Price,"Barcode (ISBN, UPC, GTIN, etc.)",Cost
"=""FAM-20108544""",SIEMENS 6ES7132-6HD00-0BB0  -  Relay Module,SIEMENS,109.95,"=""6ES71326HD000BB0""",14.59
"=""FAM-20099221""",Siemens 3RV2011-1AA15  -  Circuit breaker,SIEMENS,59.95,"=""3RV2011-1AA15""",9.16
"=""FAM-53053""",Schmersal TVH335-01/01Z-M20  -  Position Switch with safety function,SCHMERSAL,81.95,"=""TVH335-01-01Z-M20""",10.13
"=""FAM-20099302""",Siemens Circuit Breaker 3RV2011-1HA15,SIEMENS,56.99,"=""3RV2011-1HA15""",6.36
"=""FAM-20069655""",Siemens Emergency Button 3SB3801-2EF3-Z,SIEMENS,115.99,"=""3SB3801-2EF3-Z""",6.11
"=""FAM-20075344""",Siemens Circuit Breaker 5SY4310-7,SIEMENS,38.99,"=""5SY4310-7""",5.04
"=""FAM-20011131""",SKF GE 120 ES-2RS  -  Radial Spherical Plain Bearing 120x180x85 mm,SKF,337.95,"=""GE-120-ES-2RS""",13.04
"=""FAM-20005868""",Schneider Electric Inductive Sensor XS7C40PC440TF,SCHNEIDER ELECTRIC,239.99,"=""XS7C40PC440TF""",11.01
"=""FAM-20134062""",Allen Bradley ControlLogix Terminal Block Spring Clamp 1756 TBSH,ALLEN BRADLEY,45.95,"=""1756-TBSH""",2.49
"=""FAM-20084585""",Schneider Electric Inductive Proximity Sensor XS530BLPAL2,SCHNEIDER ELECTRIC,18.95,"=""XS530BLPAL2""",1.48
"=""FAM-20132752""",Siemens 3SU1801-0NA00-2AC2  -  Enclosure Plastic for EMERGENCY STOP Button,SIEMENS,35.95,"=""3SU1801-0NA00-2AC2""",3.05
"=""FAM-20085872""",SKF LAGD 125/EM2  -  Automatic Lubricator (System 24),SKF,40.95,"=""LAGD-125-EM2""",1.98
"=""FAM-23947""",Schaeffler Tension Bearing RTUEY 30 KOMPL,SCHAEFFLER GROUP,44.95,"=""RTUEY30""",2.49
"=""FAM-20099316""",Siemens 3RT2023-1AN24  -  Power Contactor,SIEMENS,24.95,"=""3RT2023-1AN24""",1.48
"=""FAM-20042994""",ELGES Spherical Bearing GE 50UK-2RS,ELGES,47.95,"=""GE50-UK-2RS""",9.26
"=""FAM-20112615""",SIEMENS 6ES7972-0BA42-0XA0  -  Connection Plug for PROFIBUS,SIEMENS,32.95,"=""6ES7972-0BA42-0XA0""",1.27
"=""FAM-20074162""",SCHAEFFLER SL192305  - Cylindrical roller bearing 25x62x24 mm,SCHAEFFLER GROUP,92.95,"=""SL192305""",7.58
"=""FAM-20014161""",SIEMENS Simatic Bus Connector 6ES7972-0BA41-0XA0,SIEMENS,24.95,"=""6ES7972-0BA41-0XA0""",0.97
"=""FAM-20069909""",Schneider Electric Sensor XS1N18PB349D,SCHNEIDER ELECTRIC,27.95,"=""XS1N18PB349D""",1.48
"=""FAM-25860""",Safety boots with zipper S3 Size 45,GEIKE,54.99,"=""""",2.49
"=""FAM-25855""",Work safety boots with zipper S3 Size 40,GEIKE,56.99,"=""""",2.49
"=""FAM-25861""",Work safety boots with zipper S3 Size 46,GEIKE,51.99,"=""""",2.49
"=""FAM-20109782""",Eaton Crouse-Hinds ADE4F M32 CAP846894  -  Cable Gland,EATON,40.95,"=""CAP846894""",2.49
"=""FAM-20022821""","Lapp Cable Gland SKINTOP MS-M 63X1,5",LAPP,63.95,"=""53112070""",1.02
"=""FAM-25583""",DESCH 3535-80 Taper-Bush,DESCH,40.95,"=""3535-80""",5.04
"=""FAM-20113659""",Rittal 5050 063  -  TS Mounting Panel Fixing Kit,RITTAL,135.95,"=""5050063""",7.58
"=""FAM-20047202""",Helukabel 803208  -  Profibus-axial-SK Connection Plug,HELUKABEL,68.95,"=""803208""",1.27
"=""FAM-20120257""","LAPP Cable Gland SKINTOP MS-M BRUSH 50X1,5",LAPP,54.95,"=""53112500""",1.27
"=""FAM-20090840""","LAPP Cable Gland M50X1,5 25057dp40",LAPP,45.95,"=""25057dp40""",1.98
"=""FAM-27004043""",SKF 61910-2RS1  -  Deep groove ball bearing 50x72x12 mm,SKF,25.95,"=""61910-2RS1""",1.68
"=""FAM-20013631""",FAG TSN 516 S  -  Labyrinth Seal,FAG,34.95,"=""TSN516S""",5.34
"=""FAM-26186""",Qualitex 103016 Pilot Jacket Marine Blue size:XXL with FAM logo,QUALITEX,26.99,"=""103016""",1.53
"=""FAM-20000348""",Qualitex Pilot Jacket Blue Size XL with FAM logo,QUALITEX,24.99,"=""103016""",1.53
"=""FAM-26187""",Qualitex 103016 Pilot Jacket Marine Blue size:XXXL with FAM logo,QUALITEX,21.99,"=""103016""",1.53
"=""FAM-20082068""",SIEMENS Connection Plug 6ES7972-0BB52-0XA0,SIEMENS,27.95,"=""6ES7972-0BB52-0XA0""",1.27
"=""FAM-20056657""",SKF 22207-EK  -  Spherical roller bearing 35x72x23 mm,SKF,45.95,"=""22207-EK""",2.8
"=""FAM-18140""",SKF TSN 226 A  -  V-ring seal 177.5x145x16.3 mm,SKF,68.95,"=""TSN 226-A""",2.54
"=""FAM-20106253""",INTERMATIC Metal Stem Mount Thermal Photocontrol K4421M,INTERMATIC,27.95,"=""K4421M""",1.02
"=""FAM-20086905""",Weidmuller Relay module MCZ R 24VUC,WEIDMUELLER,18.95,"=""4008190213060""",1.02
"=""FAM-20060683""",SNR 2208 E-2RS1TN9  - Self-aligning ball bearing 80x40x23 mm,SNR,17.95,"=""2208-E-2RS1TN9""",1.27
"=""FAM-20096851""",SKF Lock Nut with metric threads KM19 DIN981 11H,SKF,37.99,"=""KM19 DIN981 11H""",1.53
"=""FAM-20035048""","4X BINDER 99-1436-812-05 M12-A Female cable connector, shieldable, screw clamp, IP67",BINDER,18.95,"=""99-1436-812-05""",3.04
"=""FAM-20070622""",SIEMENS 6SL3255-0AA00-2AA1 - SINAMICS PC-Inverter Connection Kit,SIEMENS,22.95,"=""6SL3255-0AA00-2AA1""",2.54
"=""FAM-20015501""",Siemens 3SB3801-0DD3 - Enclosure For Command Devices 22MM,SIEMENS,24.95,"=""3SB3801-0DD3""",1.53
"=""FAM-20120181""",INTERMATIC Stem Mount Thermal Photocontrol K4121C,INTERMATIC,19.95,"=""K4121C""",0.76
"=""FAM-20057610""",Schneider Electric XB4BVB4 Red Pilot light Harmony XB4,SCHNEIDER ELECTRIC,11.95,"=""XB4BVB4""",0.97
"=""FAM-20138789""",SIEMENS 6GK1901-1BB20-2AB0  -  Industrial Ethernet FastConnect RJ45 Plug 90,SIEMENS,18.95,"=""6GK1901-1BB20-2AB0""",2.54
"=""FAM-20138790""",SIEMENS 6GK1901-1BB10-2AB0  -  Industrial Ethernet FastConnect RJ45 Plug 180,SIEMENS,20.95,"=""6GK1901-1BB10-2AB0""",0.76
"=""FAM-20101407""",SKF LAPF F1/4  -  Tube Connection G1/4 8mm,SKF,14.95,"=""LAPF-F1-4""",1.53
"=""FAM-20060688""",STEYR 6213-2RS1  -  Deep groove ball bearing 65x120x23 mm,STEYR,17.95,"=""6213-2RS1""",2.04
"=""FAM-24004""",SKF FRB 10/320  -  Locating Ring 300x320x10,SKF,45.95,"=""FRB 10-320""",2.04
"=""FAM-20035049""","4X BINDER 99-1437-812-05 M12-A Male cable connector shieldable screw clamp, IP67",BINDER,18.95,"=""99-1437-812-05""",3.04
"=""FAM-20088149""",INA K89310-TV/0-8  - Axial cylindrical roller,INA,38.99,"=""0012728299064""",3.84
"=""FAM-20037954""",Phoenix Contact SACC-M12MSB-5CON-PG9 SH AU - Data connector,PHOENIX CONTACT,20.95,"=""SACC-M12MSB-5CON-PG9-SH-AU""",0.76
"=""FAM-20131924""","WEIDMUELLER TOS 24VDC/230VAC 0,1A  -  TERMOPTO Solid-state relay",WEIDMUELLER,27.95,"=""4032248741892""",1.53
"=""FAM-20072639""",BELDEN Valve Connector GDML 2016 LED 230 YE,BELDEN HIRSCHMANN,12.95,"=""GDML2016LED230YE""",1.02
"=""FAM-20093470""",SIEMENS 6SL3255-0AA00-2CA0  -  SINAMICS PC-Inverter Connection Kit USB Cable,SIEMENS,25.95,"=""6SL3255-0AA00-2CA0""",2.54
"=""FAM-16964""",SKF ASNH 528 - Polypropylene end cover 188.8x6 mm,SKF,34.95,"=""ASNH528""",1.02
"=""FAM-20081501""",Roxtec CM Module 40 10-32,ROXTEC,15.95,"=""C000140101000""",0.76
"=""FAM-47235""",STORCH Adhesive Tape 50mm,STORCH,9.95,"=""""",0.25
"=""FAM-20076841""",Sign E01R Escape Route Right 300 x 150 mm,GENERIC,6.99,"=""E01R""",0.51
"=""FAM-20076843""",Sign E01L Escape Route Left 300 x 150 mm,GENERIC,6.99,"=""E01L""",0.51
"=""FAM-25813""",SKF KM15  -  Lock Nut with metric threads DIN981 11H,SKF,20.95,"=""KM15""",1.02
"=""FAM-16971""",SKF FRB 10/370  -  Locating Ring 350x370x10 mm,SKF,54.95,"=""FRB 10/370""",2.53
"=""FAM-16117""",STEYR 6212-RS1  -  Deep groove ball bearing 60x110x22 mm,STEYR,17.95,"=""6212-RS1""",2.04
"=""FAM-24005""",Locating (stabilizing) ring FRB 10/400,GENERIC,29.99,"=""FRB 10-400""",2.43
"=""FAM-20093981""",UVEX Goggles Supravision Sapphire 9161005,UVEX,7.99,"=""9161005""",0.76
"=""FAM-9258559""",Prohibition No Access Sign Sticker,GENERIC,9.99,"=""""",0.51
"=""FAM-20072133""",HFB FRB 13.5/200  -  Locating Ring,HFB,29.99,"=""7316577017536""",1.02
"=""FAM-20021626""",SEW Eurodrive BME 1.5  -  Motor Brake Rectifier,SEW EURODRIVE,68.95,"=""BME 1-5""",1.74
"=""FAM-12801""",SKF ASNH 526 -  Polypropylene End Cover 178.6 x 6 mm,SKF,20.95,"=""ASNH526""",1.02
"=""FAM-21565""",Schuberth Safety Helmet EuroGuard 4 White with FAM logo,SCHUBERTH,7.99,"=""""",0.76
"=""FAM-3321""",SKF 51105  - Thrust ball bearing 25x11x42 mm,SKF,10.95,"=""51105""",1.02
"=""FAM-41449""",SKF 6006-2RS1  -  Deep groove ball bearing 30x55x13 mm,SKF,8.95,"=""6006-2RS1""",0.51
"=""FAM-20979""",SKF 6305-2Z  -  Deep groove ball bearing 25x62x17 mm,SKF,9.95,"=""6305-2Z""",1.18
"=""FAM-20128903""",Roller Bearing 6212-2RS1,GENERIC,11.95,"=""6212-2RS1""",0.76
"=""FAM-20057269""",Sign Escape Route Downwards to the Left,GENERIC,9.99,"=""""",0.51
"=""FAM-20057270""",Sign Escape Route Downwards to the Right,GENERIC,9.99,"=""""",0.51
"=""FAM-20013788""",2X Allen Bradley Connection Plug 1786-BNCP,ALLEN BRADLEY,10.95,"=""1786-BNCP""",0.25
"=""FAM-20091453""",2X Wear Head Protection Sign M014,GENERIC,9.99,"=""M014""",1.02
"=""FAM-25626""",Uvex Safety Glasses x-one 9170,UVEX,11.99,"=""9170""",0.76
"=""FAM-20132610""",Siemens 3SU1400-2AA10-1BA0  -  Contact Module,SIEMENS,9.95,"=""3SU1400-2AA10-1BA0""",0.76
"=""FAM-20087935""",Prohibition No Access Sign Sticker,GENERIC,9.99,"=""""",0.51
"=""FAM-20128473""",Siemens 3SU1400-1AA10-1BA0  -  Contact Module,SIEMENS,10.95,"=""3SU1400-1AA10-1BA0""",0.85
"=""FAM-20000712""",2x LOCTITE 401  -  Universal Instant Adhesive 20g,LOCTITE,22.95,"=""IDH1919341""",1.28
"=""FAM-20044052""","2x LOCTITE 2701  -  high strength, low viscosity threadlocking adhesive 10ml",LOCTITE,20.95,"=""LOCTITE-2701""",0.76
"=""FAM-52293""",LOCTITE 243  -  Medium Strength Threadlocking Adhesive 10ml,LOCTITE,10.95,"=""Loctite-243""",0.31
"=""FAM-11561""",LOCTITE 243  -  medium strength threadlocking adhesive 5ml,LOCTITE,8.95,"=""IDH-1370555""",0.25
"=""FAM-20100822""",Schneider Electric 140CPS11420C power supply module Modicon - 115 V/230V AC PLC,SCHNEIDER ELECTRIC,324.95,"=""205592""",7.63
"=""FAM-20101671""",Baumer Electric Encoder Absolute GK401 P17,BAUMER ELECTRIC,203.95,"=""GK401""",19.08
"=""FAM-20003678""",STEYR Spherical Bearing GE 260 ES-2RS,STEYR,3248.95,"=""GE260ES-2RS""",127.2
"=""FAM-20085890""",VEGA Capacitive Sensor VEGACAP 62 GXAGDRVMX,VEGA,452.95,"=""VEGACAP62""",12.72
"=""FAM-26629""",LOCTITE 270  -  High Strength Threadlocker Adhesive 50ml,LOCTITE,27.95,"=""LOCTITE-270""",1.02
"=""FAM-20025723""",SKF AOH 2356 G  -  Withdrawal sleeve 260 mm Bore,SKF,542.95,"=""AOH2356G""",25.44
"=""FAM-20102031""",Eaton Crouse-Hinds GFS1  -  Explosion-proof Ground Fault Circuit Interrupter,EATON,1015.95,"=""GFS1""",5.09
"=""FAM-20111797""",Kiepe Emergency Stop Rope Pull Switch HEN EX 003 2D,KIEPE,339.95,"=""HENEX0032D""",12.72
"=""FAM-20087983""",SKF OH 3048 H  -  Adapter sleeve 220 mm Bore,SKF,677.95,"=""OH3048H""",15.26
"=""FAM-20073152""",Schaeffler Spherical Bearing GE 140-AW,SCHAEFFLER GROUP,1709.95,"=""GE140-AW""",25.44
"=""FAM-20060272""",Kiepe Misalignment Switch HES EX 011 II 2D,KIEPE,339.95,"=""HESEX011II2D""",5.09
"=""FAM-20085387""",Schmersal T3Z 500 22yr KA665  -  Pull-wire emergency stop switch,SCHMERSAL,303.95,"=""T3Z-500-22yr-KA665""",5.09
"=""FAM-20113144""",Chromalox WR-80 Temperature Control Room Thermostat,CHROMALOX,224.99,"=""50015140""",1.27
"=""FAM-20091389""",FHF Crouse-Hinds AXL05  -  Yellow Sounder-Strobe-Combination 230VAC,FUNKE + HUSTER FERNSIG (FHF),189.95,"=""AXL05FHF22510703""",5.09
"=""FAM-20085388""",Schmersal ZV12H 500 11/11y 030/02  -  Misalignment Switch,SCHMERSAL,339.95,"=""ZV12H-500""",5.09
"=""FAM-20112020""",Norka Basel Lamp 520 620 Explosion Proof T8 64 W,NORKA,271.95,"=""520620""",5.09
"=""FAM-20043449""",Schaeffler Spherical Bearing GE 120-DO-2RS,SCHAEFFLER GROUP,337.95,"=""GE 120-DO-2RS""",5.09
"=""FAM-20091388""",FHF Crouse-Hinds AXL05  -  Red Sounder-Strobe-Combination 230VAC,FUNKE + HUSTER FERNSIG (FHF),189.95,"=""AXL05FHF22510702""",5.09
"=""FAM-20049985""",FAG Sensor PZS4.ML 28VDC,FAG,180.95,"=""PZS4ML""",5.09
"=""FAM-20111482""",FHF Crouse-Hinds EXL06  -  Ex Sounder-Strobe-Combination 230VAC Amber,FUNKE + HUSTER FERNSIG (FHF),1015.95,"=""EXL0622581703""",5.09
"=""FAM-20101029""",ABITRON Remote Controls Z100576.A-E434TR,ABITRON,599.99,"=""Z100576.A-E434TR""",5.09
"=""FAM-20049804""",PIAB PAXD-CDL10-CDS20  -  Electronic Unit 600kN,PIAB,180.95,"=""PAXD-CDL10-CDS20""",2.54
"=""FAM-20050200""",Gross Funk GF2000iV1 Radio System - 2 Transceivers,GROSS FUNK,677.95,"=""GF2000i234980""",12.72
"=""FAM-20050202""",Gross Funk Radio Control System - SE889K2 + GF2000iV1,GROSS FUNK,2031.95,"=""SE889K2-GF2000iV1""",12.72
"=""FAM-20064577""",Gross Funk GF2000iV1 Transceivers 474MHZ,GROSS FUNK,677.95,"=""GF2000i234979""",12.72
"=""FAM-20064578""",Gross Funk GF2000iV1 Transceiver 474.10MHZ,GROSS FUNK,677.95,"=""GF2000i234978""",12.72
"=""FAM-20064580""",Gross Funk GF2000iV1 Transceiver 474.40MHZ,GROSS FUNK,677.95,"=""GF2000i234965""",12.72
"=""FAM-20114308""",Gessmann Multi-axis Controller V64R/CR4298E,GESSMANN,999.99,"=""V64R/CR4298E""",224.96
"=""FAM-20124624""",United Electric Differential Pressure Switch 12SHSNK5M201QC1,UNITED ELECTRIC CONTROLS,2031.95,"=""12SHSNK5M201QC1""",204.45
"=""FAM-20120341""",Conveyor Components CT-201SGN  -  Mercury-free Tilt Probe with 16-3 SO Cable,CONVEYOR COMPONENTS,541.95,"=""CT-201SGN""",24.61
"=""FAM-20112118""",Palazzoli 464220EX - Tais-Ex Switched Socket 16A 2P+E,PALAZZOLI,379.95,"=""464220EX""",21.53
"=""FAM-20112119""",Palazzoli 464731EX - Tais-Ex Switched Socket 32A 3P+E,PALAZZOLI,406.95,"=""464731EX""",29.6
"=""FAM-20112114""",Palazzoli 474220 - Tais switched socket 16A 2P+,PALAZZOLI,270.95,"=""474220""",16.94
"=""FAM-20112117""",Palazzoli 467126EX - Tais-Ex Switched Socket 16A 2P+E,PALAZZOLI,339.95,"=""467126EX""",11.3
"=""FAM-20112113""",Palazzoli 509126 - TOPTER Wall-mounted Socket 16A 2P+,PALAZZOLI,14.95,"=""509126""",0.81
"=""FAM-20120721""",Emerson Rosemount Series 78 - RTD Temperature Sensor Assembly,EMERSON PROCESS MANAGEMENT,541.95,"=""0078D21N00N025E6""",30.47
"=""FAM-20113898""",Allen Bradley Ferraz Shawmut Current Limiting Power Fuse CS-3 Series,MERSEN FERRAZ SHAWMUT,374.99,"=""A055F1D0R0-65E""",30.04
"=""FAM-20080559""",SKF TSN 520 ND  -  SNL housing with taconite seals,SKF,171.95,"=""TSN-520-ND""",27.79
"=""FAM-20123974""",Bintec WLAN WI1003N,BINTEC,299.99,"=""WI1003N""",2.54
"=""FAM-20112019""",Norka Erfurt Lamp 44162V 1X58W,NORKA,216.95,"=""44162001-215826""",2.54
"=""FAM-20128743""",Planam Wizard jacket Grey/Black GR:XXL,GEIKE,44.99,"=""""",0.76
"=""FAM-20078848""",SKF TSN 524 ND - SNL housing with taconite seals,SKF,149.99,"=""TSN524 ND""",0.64
"=""FAM-20080836""",Hauff Segmento SEG 8/15 - Cable Entry System Insert,HAUFF,45.95,"=""4052487215473""",0.38
"=""FAM-20080837""",Hauff Segmento SEG 6/21 - Cable Entry System Insert,HAUFF,45.95,"=""4052487215466""",0.38
"=""FAM-20052290""",5x ABL SURSUM D31.27  -  ABL 17 Wall Socket 230V 16A IP67,ABL SURSUM,339.95,"=""D31S27""",31.25
"=""FAM-20079259""",Ganter GN227-1-200-V14-SW  -  Steel Plate Handwheel,GANTER,14.95,"=""GN227-1-200-V14-SW""",0.51
"=""FAM-20134418""",Phoenix Contact RC-Z2097  - Contact insertion and removal tool,PHOENIX CONTACT,41.95,"=""RC-Z2097""",0.64
"=""FAM-20110411""",Thermo Scientific SPS-2D-4X  -  Ramsey Pro-Line Safety Pull Switch,THERMO RAMSEY,304.95,"=""ROS2DSPS2DTPS2D""",2.54
"=""FAM-20114744""",EMERSON Rosemount TH43 - 5600 Series Radar Level Transmitter Head,EMERSON PROCESS MANAGEMENT,1804.95,"=""5600-153280134616""",5.09
"=""FAM-20082918""",IFM EFECTOR Vibration Diagnostic Unit VE113A,IFM EFECTOR,631.95,"=""VE113A""",15.26
"=""FAM-20128122""",VEGA Capacitive rope measuring probe CP65 XXKR1TAMX,VEGA,974.99,"=""XXKR1TAMX""",10.18
"=""FAM-20102220""",Eaton Crouse-Hinds AFA20  -  Conveyor Belt Alignment Switch,EATON,1082.95,"=""AFA20""",25.44
"=""FAM-20108783""",Mersen Ferraz Shawmut A480R4R-1  -  Current Limiting Fuse,MERSEN FERRAZ SHAWMUT,541.95,"=""A480R4R1""",6.36
"=""FAM-20135144""",Pepperl+Fuchs EJB8A Junction Box Ex d IIB / Ex tb IIIC Aluminum Enclosures,PEPPERL+FUCHS,406.95,"=""70118394""",10.18
"=""FAM-20107386""",HYBEC Clear Performance Lamp 120V 40W,HYBEC,19.95,"=""K8107251A""",0.25
"=""FAM-20117142""",HYDAC Hydraulic Spare part 8200931856,HYDAC,749.99,"=""8200931856""",23.91
"=""FAM-20112641""",Hydac HDA 4744-A-400-000  -  Pressure Transmitter,HYDAC,360.95,"=""HDA4744A400000""",65.89
"=""LNZ-13505802""",Lenze g500 Helical Geared Motor G50AH045MVBR2C / MDEMAXX071-42C0C 0.55kW,LENZE,599.99,"=""g500HMDEMAXX071""",144.24
"=""LNZ-13500518""",Lenze g500 Helical Geared Motor G50AH045MVCR2C / MDEMAXX063-42C0C 0.25kW,LENZE,524.99,"=""g500H45MDEMAXX06342C0C""",156.41
"=""LNZ-13462820""",Lenze g500 Helical Geared Motor G50AH045MVCK2C / MDEMAXX063-32C0C 0.18kW,LENZE,488.99,"=""g500H45MDEMAXX06332C0C""",135.56
"=""LNZ-13615032""",Lenze g500 AC Bevel Geared Motor G50AB045NHAR2C1A / SDSGAXX056-22 0.24kW,LENZE,839.99,"=""G500-B045-SDSGAXX056-22""",307.95
"=""LNZ-16432736""",Lenze g500 Bevel Geared Motor G50BB111MHAR2C00 / M55BP090M045E00CC 1.1kW,LENZE,669.99,"=""g500-B110-M55BP090M045E00CC""",248.59
"=""LNZ-13465972""",Lenze Inverter Drives 8400 BaseLine -  E84AVBCE3024SX0XX3A34,LENZE,659.99,"=""E84AVBCE3024SX0""",84.41
"=""LNZ-13465973""",Lenze Inverter Drives 8400 BaseLine -   E84AVBDE2224SX0XX3A34,LENZE,499.99,"=""E84AVBDE2224SX0""",74.46
"=""LNZ-13465984""",Lenze Inverter Drives 8400 BaseLine - E84AVBDE2222SX0XX3A34,LENZE,412.99,"=""E84AVBDE2222SX0""",47.99
"=""LNZ-13465999""",Lenze Inverter Drives 8400 BaseLine -  E84AVBCE1122SX0XX3A34,LENZE,499.99,"=""E84AVBCE1122SX0""",67.09
"=""LNZ-13466000""",Lenze Inverter Drives 8400 BaseLine -   E84AVBCE2512SX0XX3A34,LENZE,249.99,"=""E84AVBCE2512SX0""",32.5
"=""LNZ-13466001""",Lenze Inverter Drives 8400 BaseLine -    E84AVBCE3712SX0XX3A34,LENZE,494.99,"=""E84AVBCE3712SX0""",61.17
"=""LNZ-13466002""",Lenze Inverter Drives 8400 BaseLine - E84AVBCE5512SX0XX3A34,LENZE,297.99,"=""E84AVBCE5512SX0""",36.14
"=""LNZ-13466003""",Lenze Inverter Drives 8400 BaseLine - E84AVBCE7512SX0XX3A34,LENZE,359.99,"=""E84AVBCE7512SX0""",44.19
"=""LNZ-13466004""",Lenze Inverter Drives 8400 BaseLine -  E84AVBDE1122SX0XX3A34,LENZE,459.99,"=""E84AVBDE1122SX0""",59.89
"=""LNZ-13466007""",Lenze Inverter Drives 8400 BaseLine -   E84AVBDE5512SX0XX3A34,LENZE,399.99,"=""E84AVBDE5512SX0""",58.03
"=""LNZ-13466029""",Lenze Inverter Drives 8400 BaseLine -    E84AVBCE1124SX0XX3A34,LENZE,299.99,"=""E84AVBCE1124SX0""",46.27
"=""LNZ-13466030""",Lenze Inverter Drives 8400 BaseLine - E84AVBCE1524SX0XX3A34,LENZE,699.99,"=""E84AVBCE1524SX0""",75.74
"=""LNZ-13466039""",Lenze Inverter Drives 8400 BaseLine - E84AVBDE7514SX2XX3A34,LENZE,1399.99,"=""E84AVBDE7514SX2""",42.22
"=""LNZ-13466040""",Lenze Inverter Drives 8400 BaseLine -  E84AVBDE1124SX2XX3A34,LENZE,459.99,"=""E84AVBDE1124SX2""",58.5
"=""LNZ-13466305""",Lenze Inverter Drives 8400 BaseLine -  E84AVBCE7514SX0XX3A34,LENZE,459.99,"=""E84AVBCE7514SX0""",69.32
"=""LNZ-13467620""",Lenze Inverter Drives 8400 BaseLine -   E84AVBDE1524SX0XX3A34,LENZE,559.99,"=""E84AVBDE1524SX0""",68.51
"=""LNZ-13467622""",Lenze Inverter Drives 8400 BaseLine -    E84AVBDE7514SX0XX3A34,LENZE,949.99,"=""E84AVBDE7514SX0""",62.04
"=""LNZ-13472991""",Lenze Inverter Drives 8400 BaseLine - E84AVBDE1124SX2XX2D34,LENZE,495.99,"=""E84AVBDE1124SX2""",57.9
"=""FAM-2586""",Work safety boots with zipper S3 Size 45,GEIKE,54.99,"=""""",2.49
