SKU,Title,Vendor,Price,"Barcode (ISBN, UPC, GTIN, etc.)",Cost
"=""BMR-312912""",Worm Bearing Shell Ã¸ 60.0,GENERIC,86.95,"=""312912""",58.2
"=""FAM-42272""",SKF 23230 CCK/W33  -  Spherical roller bearing 150x270x96 mm,SKF,914.95,"=""23230-CCK-W33""",125.71
"=""FAM-24000""",ZKL 23138 CCK/W33  -  Spherical roller bearing 190x320x104 mm,ZKL,731.95,"=""23138-CCK-W33""",106.52
"=""FAM-20036756""",SKF 23040-CC/W33  -  Spherical roller bearing 200x310x82 mm,SKF,792.95,"=""23040-CC-W33""",95.93
"=""FAM-18143""",ZKL 23226 CC/W33  -  Spherical roller bearing 130x230x80 mm,ZKL,333.95,"=""23226-CC-W33""",62.84
"=""FAM-16956""",SKF 23134 CCK/W33  -  Spherical roller bearing 170x280x88,SKF,792.95,"=""23134CCK-W33""",60.73
"=""FAM-16330""",ZKL 23222 CC/W33  -  Spherical roller bearing 110x200x69.8 mm,ZKL,305.95,"=""23222-CC-W33""",54.54
"=""FAM-20026937""",STEYR 23032 CC/W33  - Spherical roller bearing 160x240x60 mm,STEYR,366.95,"=""23032-CC-W33""",43.01
"=""FAM-20066702""",Roller Bearing 23132 CCK/W33,GENERIC,438.95,"=""23132 CCK/W33""",42.82
"=""FAM-12798""",SKF SNL 526  -  Split plummer (pillow) block housing 24 mm,SKF,339.95,"=""SNL526""",41.31
"=""FAM-53553""",SKF 22318 E  -  Spherical roller bearing 90x190x64 mm,SKF,214.95,"=""22318 E""",31.97
"=""FAM-20005716""",Schaeffler Spherical Bearing GE160-UK-2RS,SCHAEFFLER GROUP,1079.95,"=""GE160-UK-2RS""",58.54
"=""FAM-20068284""",SKF PWKRE 80.2RS  -  Cam follower (stud-type track roller) with eccentric collar,SKF,135.95,"=""PWKRE-80-2RS""",29.97
"=""FAM-20006298""",SKF Roller Bearing 24024 CC/W33,SKF,337.95,"=""24024 CC/W33""",26.46
"=""FAM-29256""",SKF AH24128  -  Withdrawal sleeve 135 mm Bore,SKF,191.95,"=""AH24128""",27.06
"=""FAM-20021624""",SKF AHX 3230 G  -  Withdrawal sleeve 145 mm Bore,SKF,191.95,"=""AHX3230G""",24.81
"=""FAM-12345""",STEYR 22220 EK  -  Spherical roller bearing 100x180x46 mm,STEYR,122.95,"=""22220-EK""",24.44
"=""FAM-12620""",SKF 22219EK  -  Spherical roller bearing 95x170x43 mm,SKF,143.95,"=""22219EK""",23.44
"=""FAM-20058939""",SKF TSN 232 S  -  Labyrinth seal 210x175x27 mm,SKF,270.95,"=""TSN232S""",6.87
"=""FAM-12618""",ZKL 22216EW33J  -  Spherical roller bearing 140x80x33 mm,ZKL,49.95,"=""22216E""",20.85
"=""FAM-20011131""",SKF GE 120 ES-2RS  -  Radial Spherical Plain Bearing 120x180x85 mm,SKF,337.95,"=""GE-120-ES-2RS""",13.04
"=""FAM-20085872""",SKF LAGD 125/EM2  -  Automatic Lubricator (System 24),SKF,40.95,"=""LAGD-125-EM2""",1.98
"=""FAM-23947""",Schaeffler Tension Bearing RTUEY 30 KOMPL,SCHAEFFLER GROUP,44.95,"=""RTUEY30""",2.49
"=""FAM-20042994""",ELGES Spherical Bearing GE 50UK-2RS,ELGES,47.95,"=""GE50-UK-2RS""",9.26
"=""FAM-20074162""",SCHAEFFLER SL192305  - Cylindrical roller bearing 25x62x24 mm,SCHAEFFLER GROUP,92.95,"=""SL192305""",7.58
"=""FAM-27004043""",SKF 61910-2RS1  -  Deep groove ball bearing 50x72x12 mm,SKF,25.95,"=""61910-2RS1""",1.68
"=""FAM-20056657""",SKF 22207-EK  -  Spherical roller bearing 35x72x23 mm,SKF,45.95,"=""22207-EK""",2.8
"=""FAM-18140""",SKF TSN 226 A  -  V-ring seal 177.5x145x16.3 mm,SKF,68.95,"=""TSN 226-A""",2.54
"=""FAM-20060683""",SNR 2208 E-2RS1TN9  - Self-aligning ball bearing 80x40x23 mm,SNR,17.95,"=""2208-E-2RS1TN9""",1.27
"=""FAM-20096851""",SKF Lock Nut with metric threads KM19 DIN981 11H,SKF,37.99,"=""KM19 DIN981 11H""",1.53
"=""FAM-20101407""",SKF LAPF F1/4  -  Tube Connection G1/4 8mm,SKF,14.95,"=""LAPF-F1-4""",1.53
"=""FAM-20060688""",STEYR 6213-2RS1  -  Deep groove ball bearing 65x120x23 mm,STEYR,17.95,"=""6213-2RS1""",2.04
"=""FAM-24004""",SKF FRB 10/320  -  Locating Ring 300x320x10,SKF,45.95,"=""FRB 10-320""",2.04
"=""FAM-16964""",SKF ASNH 528 - Polypropylene end cover 188.8x6 mm,SKF,34.95,"=""ASNH528""",1.02
"=""FAM-25813""",SKF KM15  -  Lock Nut with metric threads DIN981 11H,SKF,20.95,"=""KM15""",1.02
"=""FAM-16971""",SKF FRB 10/370  -  Locating Ring 350x370x10 mm,SKF,54.95,"=""FRB 10/370""",2.53
"=""FAM-16117""",STEYR 6212-RS1  -  Deep groove ball bearing 60x110x22 mm,STEYR,17.95,"=""6212-RS1""",2.04
"=""FAM-12801""",SKF ASNH 526 -  Polypropylene End Cover 178.6 x 6 mm,SKF,20.95,"=""ASNH526""",1.02
"=""FAM-3321""",SKF 51105  - Thrust ball bearing 25x11x42 mm,SKF,10.95,"=""51105""",1.02
"=""FAM-41449""",SKF 6006-2RS1  -  Deep groove ball bearing 30x55x13 mm,SKF,8.95,"=""6006-2RS1""",0.51
"=""FAM-20979""",SKF 6305-2Z  -  Deep groove ball bearing 25x62x17 mm,SKF,9.95,"=""6305-2Z""",1.18
"=""FAM-20128903""",Roller Bearing 6212-2RS1,GENERIC,11.95,"=""6212-2RS1""",0.76
"=""FAM-20003678""",STEYR Spherical Bearing GE 260 ES-2RS,STEYR,3248.95,"=""GE260ES-2RS""",127.2
"=""FAM-20025723""",SKF AOH 2356 G  -  Withdrawal sleeve 260 mm Bore,SKF,542.95,"=""AOH2356G""",25.44
"=""FAM-20087983""",SKF OH 3048 H  -  Adapter sleeve 220 mm Bore,SKF,677.95,"=""OH3048H""",15.26
"=""FAM-20073152""",Schaeffler Spherical Bearing GE 140-AW,SCHAEFFLER GROUP,1709.95,"=""GE140-AW""",25.44
"=""FAM-20043449""",Schaeffler Spherical Bearing GE 120-DO-2RS,SCHAEFFLER GROUP,337.95,"=""GE 120-DO-2RS""",5.09
"=""FAM-20080559""",SKF TSN 520 ND  -  SNL housing with taconite seals,SKF,171.95,"=""TSN-520-ND""",27.79
"=""FAM-20078848""",SKF TSN 524 ND - SNL housing with taconite seals,SKF,149.99,"=""TSN524 ND""",0.64
